|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      43 |         300 |       00:05:52 |       98.48% |       98.72% |       0.0446 |       0.0346 |          0.0010 |
|      44 |         305 |       00:05:58 |       98.96% |       98.76% |       0.0209 |       0.0331 |          0.0010 |
|      45 |         310 |       00:06:03 |       99.31% |       98.78% |       0.0198 |       0.0331 |          0.0010 |
|      45 |         315 |       00:06:09 |       99.67% |       98.79% |       0.0086 |       0.0330 |          0.0010 |
|      46 |         320 |       00:06:14 |       98.34% |       98.80% |       0.0517 |       0.0333 |          0.0010 |
|      47 |         325 |       00:06:20 |       97.57% |       98.76% |       0.0667 |       0.0328 |          0.0010 |
|      48 |         330 |       00:06:26 |       98.65% |       98.77% |       0.0400 |       0.0342 |          0.0010 |
|      48 |         335 |       00:06:31 |       98.57% |       98.76% |       0.0414 |       0.0334 |          0.0010 |
|      49 |         340 |       00:06:37 |       99.00% |       98.80% |       0.0199 |       0.0319 |          0.0010 |
|      50 |         345 |       00:06:43 |       99.30% |       98.82% |       0.0191 |       0.0323 |          0.0010 |
|      50 |         350 |       00:06:49 |       99.70% |       98.83% |       0.0083 |       0.0317 |          0.0010 |
|      51 |         355 |       00:06:54 |       98.43% |       98.82% |       0.0500 |       0.0325 |          0.0010 |
|      52 |         360 |       00:07:00 |       97.51% |       98.78% |       0.0669 |       0.0322 |          0.0010 |
|      53 |         365 |       00:07:06 |       98.67% |       98.79% |       0.0383 |       0.0337 |          0.0010 |
|      53 |         370 |       00:07:12 |       98.55% |       98.79% |       0.0425 |       0.0328 |          0.0010 |
|      54 |         375 |       00:07:17 |       99.08% |       98.84% |       0.0184 |       0.0316 |          0.0010 |
|      55 |         380 |       00:07:23 |       99.27% |       98.83% |       0.0190 |       0.0312 |          0.0010 |
|      55 |         385 |       00:07:29 |       99.72% |       98.86% |       0.0080 |       0.0310 |          0.0010 |
|      56 |         390 |       00:07:33 |       98.44% |       98.88% |       0.0500 |       0.0310 |          0.0010 |
|      57 |         395 |       00:07:39 |       97.63% |       98.81% |       0.0642 |       0.0316 |          0.0010 |
|      58 |         400 |       00:07:45 |       98.68% |       98.79% |       0.0381 |       0.0334 |          0.0010 |
|      58 |         405 |       00:07:51 |       98.65% |       98.85% |       0.0394 |       0.0313 |          0.0010 |
|      59 |         410 |       00:07:57 |       99.05% |       98.86% |       0.0198 |       0.0305 |          0.0010 |
|      60 |         415 |       00:08:03 |       99.30% |       98.85% |       0.0185 |       0.0313 |          0.0010 |
|      60 |         420 |       00:08:09 |       99.71% |       98.89% |       0.0079 |       0.0299 |          0.0010 |
|======================================================================================================================|
