|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|      15 |         105 |       00:02:59 |       98.34% |       98.14% |       0.0314 |       0.0569 |          0.0010 |
|      16 |         110 |       00:03:07 |       98.75% |       98.14% |       0.0426 |       0.0542 |          0.0010 |
|      17 |         115 |       00:03:16 |       97.80% |       98.19% |       0.0732 |       0.0532 |          0.0010 |
|      18 |         120 |       00:03:26 |       98.91% |       98.24% |       0.0246 |       0.0520 |          0.0010 |
|      18 |         125 |       00:03:33 |       98.20% |       98.24% |       0.0572 |       0.0516 |          0.0010 |
|      19 |         130 |       00:03:41 |       97.08% |       98.27% |       0.0885 |       0.0510 |          0.0010 |
|      20 |         135 |       00:03:51 |       97.55% |       98.31% |       0.0686 |       0.0487 |          0.0010 |
|      20 |         140 |       00:03:59 |       98.79% |       98.28% |       0.0238 |       0.0503 |          0.0010 |
|      21 |         145 |       00:04:06 |       98.89% |       98.40% |       0.0350 |       0.0472 |          0.0010 |
|      22 |         150 |       00:04:15 |       97.92% |       98.45% |       0.0662 |       0.0464 |          0.0010 |
|      23 |         155 |       00:04:25 |       99.32% |       98.38% |       0.0166 |       0.0470 |          0.0010 |
|      23 |         160 |       00:04:32 |       98.26% |       98.46% |       0.0535 |       0.0455 |          0.0010 |
|      24 |         165 |       00:04:40 |       96.96% |       98.44% |       0.0872 |       0.0453 |          0.0010 |
|      25 |         170 |       00:04:49 |       97.95% |       98.53% |       0.0559 |       0.0435 |          0.0010 |
|      25 |         175 |       00:04:58 |       99.17% |       98.54% |       0.0187 |       0.0445 |          0.0010 |
|      26 |         180 |       00:05:05 |       99.04% |       98.52% |       0.0282 |       0.0426 |          0.0010 |
|      27 |         185 |       00:05:13 |       98.18% |       98.55% |       0.0599 |       0.0417 |          0.0010 |
|      28 |         190 |       00:05:23 |       99.57% |       98.61% |       0.0123 |       0.0416 |          0.0010 |
|      28 |         195 |       00:05:30 |       98.39% |       98.62% |       0.0492 |       0.0408 |          0.0010 |
|      29 |         200 |       00:05:37 |       96.97% |       98.59% |       0.0843 |       0.0404 |          0.0010 |
|      30 |         205 |       00:05:47 |       98.48% |       98.66% |       0.0452 |       0.0393 |          0.0010 |
|      30 |         210 |       00:05:55 |       99.24% |       98.67% |       0.0173 |       0.0397 |          0.0010 |
|      31 |         215 |       00:06:02 |       99.14% |       98.66% |       0.0235 |       0.0388 |          0.0010 |
|      32 |         220 |       00:06:11 |       98.25% |       98.69% |       0.0567 |       0.0381 |          0.0010 |
|      33 |         225 |       00:06:20 |       99.63% |       98.66% |       0.0102 |       0.0390 |          0.0010 |
|      33 |         230 |       00:06:27 |       98.52% |       98.66% |       0.0451 |       0.0388 |          0.0010 |
|      34 |         235 |       00:06:35 |       96.93% |       98.67% |       0.0799 |       0.0376 |          0.0010 |
|      35 |         240 |       00:06:44 |       98.52% |       98.67% |       0.0425 |       0.0378 |          0.0010 |
|      35 |         245 |       00:06:53 |       99.21% |       98.67% |       0.0179 |       0.0386 |          0.0010 |
|      36 |         250 |       00:07:00 |       99.11% |       98.67% |       0.0236 |       0.0373 |          0.0010 |
|      37 |         255 |       00:07:08 |       98.26% |       98.67% |       0.0547 |       0.0384 |          0.0010 |
|      38 |         260 |       00:07:17 |       99.57% |       98.72% |       0.0117 |       0.0378 |          0.0010 |
|      38 |         265 |       00:07:25 |       98.54% |       98.73% |       0.0468 |       0.0363 |          0.0010 |
|      39 |         270 |       00:07:32 |       97.26% |       98.71% |       0.0803 |       0.0369 |          0.0010 |
|      40 |         275 |       00:07:42 |       98.39% |       98.73% |       0.0480 |       0.0365 |          0.0010 |
|      40 |         280 |       00:07:50 |       99.12% |       98.79% |       0.0185 |       0.0353 |          0.0010 |
|      41 |         285 |       00:07:57 |       99.21% |       98.77% |       0.0217 |       0.0356 |          0.0010 |
|      42 |         290 |       00:08:06 |       98.40% |       98.73% |       0.0528 |       0.0358 |          0.0010 |
|      43 |         295 |       00:08:15 |       99.63% |       98.74% |       0.0095 |       0.0360 |          0.0010 |
|      43 |         300 |       00:08:22 |       98.55% |       98.80% |       0.0424 |       0.0342 |          0.0010 |
|      44 |         305 |       00:08:29 |       97.51% |       98.81% |       0.0762 |       0.0343 |          0.0010 |
|      45 |         310 |       00:08:39 |       98.68% |       98.76% |       0.0420 |       0.0352 |          0.0010 |
|      45 |         315 |       00:08:47 |       99.25% |       98.80% |       0.0165 |       0.0344 |          0.0010 |
|      46 |         320 |       00:08:55 |       99.16% |       98.77% |       0.0213 |       0.0350 |          0.0010 |
|      47 |         325 |       00:09:03 |       98.34% |       98.65% |       0.0534 |       0.0369 |          0.0010 |
|      48 |         330 |       00:09:12 |       99.60% |       98.77% |       0.0103 |       0.0353 |          0.0010 |
|      48 |         335 |       00:09:20 |       98.55% |       98.82% |       0.0433 |       0.0335 |          0.0010 |
|      49 |         340 |       00:09:27 |       97.12% |       98.77% |       0.0741 |       0.0342 |          0.0010 |
|      50 |         345 |       00:09:37 |       98.89% |       98.86% |       0.0353 |       0.0337 |          0.0010 |
|      50 |         350 |       00:09:45 |       99.33% |       98.86% |       0.0148 |       0.0320 |          0.0010 |
|      51 |         355 |       00:09:52 |       99.22% |       98.87% |       0.0193 |       0.0324 |          0.0010 |
|      52 |         360 |       00:10:01 |       98.43% |       98.85% |       0.0512 |       0.0323 |          0.0010 |
|      53 |         365 |       00:10:10 |       99.68% |       98.83% |       0.0077 |       0.0328 |          0.0010 |
|      53 |         370 |       00:10:17 |       98.69% |       98.86% |       0.0374 |       0.0325 |          0.0010 |
|      54 |         375 |       00:10:24 |       97.31% |       98.80% |       0.0711 |       0.0334 |          0.0010 |
|      55 |         380 |       00:10:34 |       98.79% |       98.78% |       0.0365 |       0.0336 |          0.0010 |
|      55 |         385 |       00:10:42 |       99.40% |       98.87% |       0.0137 |       0.0322 |          0.0010 |
|      56 |         390 |       00:10:49 |       99.18% |       98.85% |       0.0210 |       0.0327 |          0.0010 |
|      57 |         395 |       00:10:58 |       98.39% |       98.80% |       0.0523 |       0.0333 |          0.0010 |
|      58 |         400 |       00:11:07 |       99.65% |       98.78% |       0.0086 |       0.0346 |          0.0010 |
|      58 |         405 |       00:11:14 |       98.71% |       98.83% |       0.0380 |       0.0333 |          0.0010 |
|      59 |         410 |       00:11:21 |       97.13% |       98.82% |       0.0714 |       0.0328 |          0.0010 |
|      60 |         415 |       00:11:31 |       98.69% |       98.89% |       0.0331 |       0.0315 |          0.0010 |
|      60 |         420 |       00:11:40 |       99.44% |       98.92% |       0.0128 |       0.0311 |          0.0010 |
|======================================================================================================================|
