|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |       98.31% |       93.70% |       0.1724 |       0.2548 |          0.0010 |
|       1 |           5 |       00:00:11 |       97.23% |       97.27% |       0.1479 |       0.1470 |          0.0010 |
|       2 |          10 |       00:00:19 |       96.65% |       97.51% |       0.1317 |       0.0991 |          0.0010 |
|       3 |          15 |       00:00:28 |       98.69% |       97.20% |       0.0451 |       0.0972 |          0.0010 |
|       3 |          20 |       00:00:35 |       97.20% |       97.39% |       0.1166 |       0.0916 |          0.0010 |
|       4 |          25 |       00:00:42 |       96.55% |       97.54% |       0.1255 |       0.0869 |          0.0010 |
|       5 |          30 |       00:00:52 |       96.81% |       97.59% |       0.1111 |       0.0838 |          0.0010 |
|       5 |          35 |       00:01:01 |       98.30% |       97.63% |       0.0446 |       0.0799 |          0.0010 |
|       6 |          40 |       00:01:08 |       97.93% |       97.59% |       0.0778 |       0.0809 |          0.0010 |
|       7 |          45 |       00:01:17 |       97.18% |       97.68% |       0.1064 |       0.0772 |          0.0010 |
|       8 |          50 |       00:01:26 |       98.62% |       97.74% |       0.0403 |       0.0754 |          0.0010 |
|       8 |          55 |       00:01:34 |       97.90% |       97.77% |       0.0813 |       0.0741 |          0.0010 |
|       9 |          60 |       00:01:42 |       96.91% |       97.78% |       0.1091 |       0.0728 |          0.0010 |
|      10 |          65 |       00:01:52 |       96.94% |       97.83% |       0.0931 |       0.0709 |          0.0010 |
|      10 |          70 |       00:02:00 |       98.32% |       97.88% |       0.0374 |       0.0686 |          0.0010 |
|      11 |          75 |       00:02:08 |       98.47% |       97.90% |       0.0561 |       0.0671 |          0.0010 |
|      12 |          80 |       00:02:17 |       97.53% |       97.93% |       0.0907 |       0.0655 |          0.0010 |
|      13 |          85 |       00:02:26 |       98.68% |       97.98% |       0.0321 |       0.0627 |          0.0010 |
|      13 |          90 |       00:02:33 |       98.15% |       98.03% |       0.0669 |       0.0607 |          0.0010 |
|      14 |          95 |       00:02:41 |       97.11% |       98.02% |       0.0927 |       0.0593 |          0.0010 |
|      15 |         100 |       00:02:51 |       97.32% |       98.05% |       0.0777 |       0.0573 |          0.0010 |
